,id,longitude,latitude,time,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare,snow_and_ice,label,Company,mine_id,orig_perm_id,start_date,end_date
5,20190729T161839_20190729T162825_T16SGF,-84.53955307320405,36.298225685417506,1564418008142,0.02958299219608307,0.73433518409729,0.03597926371730864,0.02695156284607947,0.03164920047856867,0.03797431499697268,0.03326549404300749,0.03697006055153906,0.03316538059152663,1,COALCO INC,0000000000000000000f,81-212,2019-07-01,2019-07-31
10,20190729T161839_20190729T162825_T16SGF,-84.53955307320405,36.30002231598574,1564418008142,0.027459952980279922,0.7297136562410742,0.039299964904785156,0.024811441311612725,0.03312093415297568,0.03916698042303324,0.03635650873184204,0.034404996782541275,0.033729080110788345,1,COALCO INC,0000000000000000000f,81-212,2019-07-01,2019-07-31
15,20190729T161839_20190729T162825_T16SGF,-84.53775644263581,36.30002231598574,1564418008142,0.02919063181616366,0.747838587500155,0.03597926371730864,0.02652242057956755,0.032145180739462376,0.03028521896339953,0.03317093849182129,0.03114091814495623,0.0334271052852273,1,COALCO INC,0000000000000000000f,81-212,2019-07-01,2019-07-31
16,20190704T161911_20190704T162524_T16SGF,-84.53775644263581,36.301818946553986,1562258004000,0.022097156383097172,0.7577679122332484,0.03802785649895668,0.02375105395913124,0.0371345414314419,0.02898763958364725,0.03204676881432533,0.02616085112094879,0.03352761268615723,1,COALCO INC,0000000000000000000f,81-212,2019-07-01,2019-07-31
20,20190729T161839_20190729T162825_T16SGF,-84.53775644263581,36.301818946553986,1564418008142,0.027551055885851383,0.7401523003354669,0.0385054387152195,0.02558652521111071,0.03437104169279337,0.03573078289628029,0.03313204296864569,0.0318286158144474,0.03281064354814589,1,COALCO INC,0000000000000000000f,81-212,2019-07-01,2019-07-31
25,20190729T161839_20190729T162825_T16SGF,-84.53595981206757,36.301818946553986,1564418008142,0.026403274619951844,0.7388139052782208,0.03823643201030791,0.023287721211090684,0.03226018534041941,0.03990118415094912,0.035242133075371385,0.033432685071602464,0.03221634984947741,1,COALCO INC,0000000000000000000f,81-212,2019-07-01,2019-07-31
9,20190729T161839_20190729T162825_T16SGF,-83.9017492214792,36.5281943981521,1564418008142,0.025260508060455322,0.6435253492090851,0.041832033544778824,0.030781143344938755,0.055318557657301426,0.04506939300335944,0.04972540680319071,0.03773680911399424,0.04954862967133522,1,ENCOL INC,0000000000000000007b,80-A08,2019-07-01,2019-07-31
6,20190724T161911_20190724T162524_T16SFE,-84.75155548025626,35.99100185824863,1563986022725,0.028003726387396455,0.7473636269569397,0.032760911621153355,0.026210234500467777,0.03236441407352686,0.03360588941723108,0.03283828869462013,0.033488508546724916,0.03220539563335478,1,CUMBERLAND COAL CO LLC,0000000000000000004b,3065,2019-07-01,2019-07-31
7,20190724T161911_20190724T162524_T16SGE,-84.75155548025626,35.99100185824863,1563986019535,0.02790677919983864,0.74836649838835,0.030936610186472535,0.02620035409927368,0.03320429567247629,0.03325436287559569,0.032606431283056736,0.03371787164360285,0.03213970945216715,1,CUMBERLAND COAL CO LLC,0000000000000000004b,3065,2019-07-01,2019-07-31
15,20190724T161911_20190724T162524_T16SFE,-84.75155548025626,35.99279848881687,1563986022725,0.036800090223550797,0.1907126046717167,0.08244931790977716,0.03815293335355818,0.16933144629001617,0.11328499857336283,0.15055621997453272,0.06904089823365211,0.04385322704911232,6,CUMBERLAND COAL CO LLC,0000000000000000004b,3065,2019-07-01,2019-07-31
16,20190724T161911_20190724T162524_T16SGE,-84.75155548025626,35.99279848881687,1563986019535,0.03201945894397795,0.24509570212103426,0.08114882768131793,0.03434841427952051,0.16934400447644293,0.0948161818087101,0.10423904308117926,0.06431350484490395,0.043058023089542985,4,CUMBERLAND COAL CO LLC,0000000000000000004b,3065,2019-07-01,2019-07-31
24,20190724T161911_20190724T162524_T16SFE,-84.74975884968802,35.99279848881687,1563986022725,0.03855935321189463,0.26945312530733645,0.08185452315956354,0.03768347296863794,0.061769723892211914,0.11231130198575556,0.226443306542933,0.047318994998931885,0.041564069921150804,6,CUMBERLAND COAL CO LLC,0000000000000000004b,3065,2019-07-01,2019-07-31
25,20190724T161911_20190724T162524_T16SGE,-84.74975884968802,35.99279848881687,1563986019535,0.04210712015628815,0.21532851294614375,0.07534495578147471,0.04031678684987128,0.07402723678387702,0.1122703964356333,0.27010301128029823,0.05149663984775543,0.041857004165649414,6,CUMBERLAND COAL CO LLC,0000000000000000004b,3065,2019-07-01,2019-07-31
9,20190729T161839_20190729T162825_T16SGF,-84.20178652637512,36.18863122075493,1564418008142,0.033087618881836534,0.5795647539198399,0.03961518779397011,0.02564513706602156,0.04291882016696036,0.0413155744317919,0.08365419344045222,0.03658380010165274,0.03759466321207583,1,PREMIUM COAL CO. INC,00000000000000000068,2546,2019-07-01,2019-07-31
10,20190729T161839_20190729T162825_T17SKA,-84.20178652637512,36.18863122075493,1564418006750,0.03604296687990427,0.3804308557882905,0.04540041461586952,0.0264131932053715,0.05071705230511725,0.0442567674908787,0.19999194517731667,0.03996216715313494,0.04228264465928078,1,PREMIUM COAL CO. INC,00000000000000000068,2546,2019-07-01,2019-07-31
6,20190724T161911_20190724T162524_T16SFE,-84.74796221911978,35.99279848881687,1563986022725,0.026408233679831028,0.6810984099283814,0.05733195319771767,0.030189698794856668,0.03857133933342993,0.06824135780334473,0.03215612471103668,0.027363952482119203,0.03423538897186518,1,ROBINSON COAL CO,00000000000000000077,2184019,2019-07-01,2019-07-31
7,20190724T161911_20190724T162524_T16SGE,-84.74796221911978,35.99279848881687,1563986019535,0.028249394381418824,0.6074463212862611,0.07201511622406542,0.03086686972528696,0.043578855926170945,0.08612598502077162,0.045980980852618814,0.0301366972271353,0.03619956807233393,1,ROBINSON COAL CO,00000000000000000077,2184019,2019-07-01,2019-07-31
8,20190729T161839_20190729T162825_T16SFE,-84.74796221911978,35.99279848881687,1564418025857,0.02814690233208239,0.6258988529443741,0.04159518424421549,0.035540672251954675,0.05730272829532623,0.05766857508569956,0.062484742142260075,0.03221087250858545,0.05431113042868674,1,ROBINSON COAL CO,00000000000000000077,2184019,2019-07-01,2019-07-31
9,20190729T161839_20190729T162825_T16SGE,-84.74796221911978,35.99279848881687,1564418022672,0.027202647412195802,0.6651495585683733,0.04093187884427607,0.031481120735406876,0.05312287830747664,0.0601273262873292,0.05279280338436365,0.0245668888092041,0.04191321530379355,1,ROBINSON COAL CO,00000000000000000077,2184019,2019-07-01,2019-07-31
15,20190724T161911_20190724T162524_T16SFE,-84.74616558855155,35.99279848881687,1563986022725,0.03200853825546801,0.5809828194323927,0.052785791689530015,0.030990310246124864,0.0589952627196908,0.06116443872451782,0.04106782400049269,0.04546546284109354,0.03907040599733591,1,ROBINSON COAL CO,00000000000000000077,2184019,2019-07-01,2019-07-31
16,20190724T161911_20190724T162524_T16SGE,-84.74616558855155,35.99279848881687,1563986019535,0.027759131276980042,0.6999144293367863,0.0471134262625128,0.02900842670351267,0.04396193684078753,0.04839382343925536,0.030583357671275735,0.028403481701388955,0.03489922941662371,1,ROBINSON COAL CO,00000000000000000077,2184019,2019-07-01,2019-07-31
17,20190729T161839_20190729T162825_T16SFE,-84.74616558855155,35.99279848881687,1564418025857,0.03257337585091591,0.4284239411354065,0.04503052891232073,0.03447862365283072,0.0841138067189604,0.06075755599886179,0.07026511803269386,0.09098412096500397,0.05397737864404917,1,ROBINSON COAL CO,00000000000000000077,2184019,2019-07-01,2019-07-31
18,20190729T161839_20190729T162825_T16SGE,-84.74616558855155,35.99279848881687,1564418022672,0.029661778593435884,0.5914036186877638,0.04679600917734206,0.03476253733970225,0.07135328743606806,0.05564202577807009,0.05766857508569956,0.03995606675744057,0.05326364771462977,1,ROBINSON COAL CO,00000000000000000077,2184019,2019-07-01,2019-07-31
24,20190724T161911_20190724T162524_T16SFE,-84.74975884968802,35.99459511938511,1563986022725,0.02755612158216536,0.6323132591787726,0.06512869731523097,0.03726992383599281,0.060930691892281175,0.07093814783729613,0.03857133933342993,0.02654727641493082,0.035707712173461914,1,ROBINSON COAL CO,00000000000000000077,2184019,2019-07-01,2019-07-31
25,20190724T161911_20190724T162524_T16SGE,-84.74975884968802,35.99459511938511,1563986019535,0.03233148157596588,0.49730731546878815,0.08277386077679694,0.04033517185598612,0.08142725587822497,0.09253716468811035,0.042691519716754556,0.04124736879020929,0.040913358330726624,4,ROBINSON COAL CO,00000000000000000077,2184019,2019-07-01,2019-07-31
