,id,longitude,latitude,time,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare,snow_and_ice,label,Company,mine_id,orig_perm_id,start_date,end_date
14,20230710T160831_20230710T161853_T17SLB,-82.03864332221531,37.89543026058202,1689006189321,0.022819731384515762,0.5644013232085854,0.07536171027459204,0.03472840622998774,0.09207357559353113,0.04373188712634146,0.04285562061704695,0.029730144888162613,0.04203826398588717,1,HICA CORPORATION,00000000000000000537,U509886,2023-07-01,2023-07-31
15,20230710T160831_20230710T161853_T17SLC,-82.03864332221531,37.89543026058202,1689006174912,0.02729836478829384,0.3101886250078678,0.14666225854307413,0.03374029044061899,0.2008526681456715,0.06331901089288294,0.08977309241890907,0.0368938185274601,0.05616876855492592,1,HICA CORPORATION,00000000000000000537,U509886,2023-07-01,2023-07-31
4,20230725T160829_20230725T162050_T17SPD,-79.68505727782215,39.4315493964264,1690302149988,0.049589396454393864,0.5782412423286587,0.03754734084941447,0.03464315179735422,0.038403703132644296,0.03725225129164755,0.08506351057440042,0.032342457212507725,0.03300440404564142,1,"PATRIOT MINING COMPANY, INC.",0000000000000000082f,P050400,2023-07-01,2023-07-31
4,20230725T160829_20230725T162050_T17SPD,-79.68505727782215,39.433346026994634,1690302149988,0.03095808462239802,0.7410452365875244,0.030051991576328874,0.02851674542762339,0.035019055008888245,0.03601979557424784,0.035771174589172006,0.03190488461405039,0.0301155096385628,1,"PATRIOT MINING COMPANY, INC.",0000000000000000082f,P050400,2023-07-01,2023-07-31
5,20230730T160831_20230730T161947_T17SND,-80.23123297056682,39.37944710994746,1690734153202,0.0295043105725199,0.10026746988296509,0.23599587590433657,0.03200307860970497,0.09754184260964394,0.12436987459659576,0.2153001914266497,0.031151689821854234,0.039530196227133274,2,"MARION DOCKS, INC.",0000000000000000012c,U200504,2023-07-01,2023-07-31
4,20230710T160831_20230710T161853_T17SLB,-82.03325343051058,37.76786949023705,1689006189321,0.023371624061837792,0.7448857286944985,0.03330446779727936,0.02406721212901175,0.0314269969239831,0.03300994844175875,0.03834989760071039,0.030823991633951664,0.03859531716443598,1,COAL-MAC LLC,00000000000000000363,U501096,2023-07-01,2023-07-31
16,20230710T160831_20230710T161853_T17SLB,-82.02786353880587,37.77325938194176,1689006189321,0.022939749993383884,0.7547424698714167,0.02969332248903811,0.023704045452177525,0.03926972136832774,0.02860958338715136,0.03177419397979975,0.031178627163171768,0.035927184857428074,1,COAL-MAC LLC,00000000000000000363,U501096,2023-07-01,2023-07-31
2,20230710T160831_20230710T161853_T17SMB,-82.01528712482819,37.65468176443798,1689006185795,0.02394899819046259,0.7549811005592346,0.031017177738249302,0.02319467277266085,0.032705698162317276,0.035817364463582635,0.03168178373016417,0.03241384425200522,0.03411691286601126,1,"COAL-MAC, INC. DBA PHOENIX COAL-MAC MINING, INC.",000000000000000003a2,S507492,2023-07-01,2023-07-31
61,20230710T160831_20230710T161853_T17SLB,-82.02606690823764,37.66546154784742,1689006189321,0.024152506375685334,0.771350079216063,0.02769307140260935,0.02563047781586647,0.032976689049974084,0.029389100382104516,0.02573318057693541,0.030984938144683838,0.031937599182128906,1,"COAL-MAC, INC. DBA PHOENIX COAL-MAC MINING, INC.",000000000000000003a2,S507492,2023-07-01,2023-07-31
63,20230725T160829_20230725T162050_T17SLB,-82.02606690823764,37.66546154784742,1690302190026,0.029856566339731216,0.7444380375090986,0.034472957253456116,0.027237892150878906,0.03194850776344538,0.03171981871128082,0.027056876569986343,0.03590983361937106,0.0372051449958235,1,"COAL-MAC, INC. DBA PHOENIX COAL-MAC MINING, INC.",000000000000000003a2,S507492,2023-07-01,2023-07-31
