,id,longitude,latitude,time,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare,snow_and_ice,label,Company,mine_id,orig_perm_id,start_date,end_date
3,20230723T161831_20230723T162339_T16SGF,-84.53955307320405,36.298225685417506,1690130004573,0.027293322840705514,0.7571039199829102,0.029661778593435884,0.026279449462890625,0.03053001151420176,0.03333232016302645,0.030168492579832673,0.03328776196576655,0.03209048882126808,1,COALCO INC,0000000000000000000f,81-212,2023-07-01,2023-07-31
7,20230723T161831_20230723T162339_T16SGF,-84.53955307320405,36.30002231598574,1690130004573,0.02544028894044459,0.7240416540298611,0.03704050765372813,0.025250808335840702,0.03392552980221808,0.04002930223941803,0.03905231156386435,0.03315982315689325,0.03294898569583893,1,COALCO INC,0000000000000000000f,81-212,2023-07-01,2023-07-31
11,20230723T161831_20230723T162339_T16SGF,-84.53775644263581,36.30002231598574,1690130004573,0.026592046255245805,0.7530731111764908,0.033109827199950814,0.025635363766923547,0.03072227560915053,0.03570194565691054,0.031130148330703378,0.03189943381585181,0.0318286158144474,1,COALCO INC,0000000000000000000f,81-212,2023-07-01,2023-07-31
15,20230723T161831_20230723T162339_T16SGF,-84.53775644263581,36.301818946553986,1690130004573,0.02126142755150795,0.7491323000285774,0.03691140585578978,0.024917308473959565,0.05682886787690222,0.027036800980567932,0.02197031769901514,0.026597023010253906,0.035202041268348694,1,COALCO INC,0000000000000000000f,81-212,2023-07-01,2023-07-31
18,20230718T161839_20230718T163324_T16SGF,-84.53595981206757,36.301818946553986,1689698011087,0.026666746474802494,0.7473372446838766,0.035150528186932206,0.02587043703533709,0.03624603361822665,0.03021091246046126,0.03086686972528696,0.028842338360846043,0.03876937925815582,1,COALCO INC,0000000000000000000f,81-212,2023-07-01,2023-07-31
1,20230718T161839_20230718T162101_T16SGF,-83.9017492214792,36.5281943981521,1689698004549,0.02925845328718424,0.6251747542992234,0.04668384790420532,0.03269466105848551,0.10586118535138667,0.029148934641852975,0.04120399453677237,0.03186673880554736,0.04461702168919146,1,ENCOL INC,0000000000000000007b,80-A08,2023-07-01,2023-07-31
2,20230718T161839_20230718T162101_T17SKA,-83.9017492214792,36.5281943981521,1689698003767,0.03257337585091591,0.6937494957819581,0.039179060608148575,0.03082934976555407,0.06327294395305216,0.026403274619951844,0.03341036872006953,0.030765082919970155,0.038601312786340714,1,ENCOL INC,0000000000000000007b,80-A08,2023-07-01,2023-07-31
5,20230728T161839_20230728T163310_T16SGF,-83.9017492214792,36.5281943981521,1690562005714,0.027358904480934143,0.6977969373110682,0.04014539555646479,0.02365708351135254,0.070014568278566,0.026532361516728997,0.03507618699222803,0.03079185262322426,0.03577694669365883,1,ENCOL INC,0000000000000000007b,80-A08,2023-07-01,2023-07-31
6,20230728T161839_20230728T163310_T17SKA,-83.9017492214792,36.5281943981521,1690562004321,0.03177419397979975,0.6330657601356506,0.04512123786844313,0.02959874109365046,0.07978969812393188,0.028413769090548158,0.05317212641239166,0.03323210612870753,0.038721323013305664,1,ENCOL INC,0000000000000000007b,80-A08,2023-07-01,2023-07-31
5,20230728T161839_20230728T163310_T16SGF,-84.2790416408094,36.476092111673175,1690562005714,0.03027990832924843,0.7021118411794305,0.03526505292393267,0.02613124344497919,0.032507315278053284,0.035823140293359756,0.051815696991980076,0.033830040134489536,0.03326549404300749,1,DEBCO COAL CO,0000000000000000002f,79-A10,2023-07-01,2023-07-31
6,20230728T161839_20230728T163310_T17SKA,-84.2790416408094,36.476092111673175,1690562004321,0.030578020960092545,0.6969049805775285,0.03742916532792151,0.025694031501188874,0.0372051449958235,0.03341036872006953,0.053094746777787805,0.032183492789044976,0.03371226810850203,1,DEBCO COAL CO,0000000000000000002f,79-A10,2023-07-01,2023-07-31
11,20230728T161839_20230728T163310_T16SGF,-84.27724501024115,36.476092111673175,1690562005714,0.02805993054062128,0.7552993334829807,0.03564430610276759,0.028280178317800164,0.040660664672032,0.02386406436562538,0.028085496509447694,0.02672658208757639,0.032342457212507725,1,DEBCO COAL CO,0000000000000000002f,79-A10,2023-07-01,2023-07-31
12,20230728T161839_20230728T163310_T17SKA,-84.27724501024115,36.476092111673175,1690562004321,0.028806070098653436,0.6834931580815464,0.040090383030474186,0.028718085028231144,0.04712667525745928,0.02801904920488596,0.05708377901464701,0.02911768131889403,0.035471666837111115,1,DEBCO COAL CO,0000000000000000002f,79-A10,2023-07-01,2023-07-31
5,20230728T161839_20230728T163310_T16SGF,-83.91432563545686,36.562330378948644,1690562005714,0.03445029631257057,0.6433539921417832,0.050401401007547975,0.027197614312171936,0.0640815356746316,0.034139463910833,0.03337133303284645,0.03830807493068278,0.043134046951308846,1,B + J EXCAVATING CO INC (TN),00000000000000000024,82-018,2023-07-01,2023-07-31
2,20230723T161831_20230723T162339_T16SFE,-84.75155548025626,35.99100185824863,1690130022281,0.02810084167867899,0.7523052974138409,0.03232599445618689,0.02655722200870514,0.03082934976555407,0.03260092088021338,0.03208502219058573,0.03300440404564142,0.03157866094261408,1,CUMBERLAND COAL CO LLC,0000000000000000004b,3065,2023-07-01,2023-07-31
3,20230723T161831_20230723T162339_T16SGE,-84.75155548025626,35.99100185824863,1690130019091,0.02759666391648352,0.7546629346907139,0.03038089000619948,0.02648267545737326,0.03131888899952173,0.032529328018426895,0.03173069003969431,0.03320429567247629,0.031237930292263627,1,CUMBERLAND COAL CO LLC,0000000000000000004b,3065,2023-07-01,2023-07-31
7,20230723T161831_20230723T162339_T16SFE,-84.75155548025626,35.99279848881687,1690130022281,0.029772255569696426,0.3609967827796936,0.10249259904958308,0.034060567850247025,0.07435973756946623,0.1395741142332554,0.10719589167274535,0.0461578369140625,0.04527695127762854,1,CUMBERLAND COAL CO LLC,0000000000000000004b,3065,2023-07-01,2023-07-31
8,20230723T161831_20230723T162339_T16SGE,-84.75155548025626,35.99279848881687,1690130019091,0.027530797757208347,0.3875032104551792,0.09964033239521086,0.03239187062717974,0.07770870835520327,0.11966895335353911,0.08825258375145495,0.04559569898992777,0.04441741481423378,1,CUMBERLAND COAL CO LLC,0000000000000000004b,3065,2023-07-01,2023-07-31
12,20230723T161831_20230723T162339_T16SFE,-84.74975884968802,35.99279848881687,1690130022281,0.03433710336685181,0.4063829043880105,0.06561245978809893,0.03286594548262656,0.0524987131357193,0.10031579271890223,0.16694137104786932,0.04317208402790129,0.04031678684987128,1,CUMBERLAND COAL CO LLC,0000000000000000004b,3065,2023-07-01,2023-07-31
13,20230723T161831_20230723T162339_T16SGE,-84.74975884968802,35.99279848881687,1690130019091,0.03687037527561188,0.367849949747324,0.06916123093105853,0.03423538897186518,0.053038506070151925,0.11611688509583473,0.17857124004513025,0.046650884905830026,0.04230147250927985,1,CUMBERLAND COAL CO LLC,0000000000000000004b,3065,2023-07-01,2023-07-31
2,20230723T161831_20230723T162339_T16SFE,-84.74796221911978,35.99279848881687,1690130022281,0.027172455796971917,0.6072322747204453,0.05796209070831537,0.02894089580513537,0.05851444066502154,0.04914864921011031,0.07751316670328379,0.03097419533878565,0.03866129461675882,1,ROBINSON COAL CO,00000000000000000077,2184019,2023-07-01,2023-07-31
3,20230723T161831_20230723T162339_T16SGE,-84.74796221911978,35.99279848881687,1690130019091,0.027988407760858536,0.5800992308650166,0.06413562432862818,0.02952528209425509,0.05503182206302881,0.06056964420713484,0.0926578885409981,0.030925875762477517,0.03902819217182696,1,ROBINSON COAL CO,00000000000000000077,2184019,2023-07-01,2023-07-31
7,20230723T161831_20230723T162339_T16SFE,-84.74616558855155,35.99279848881687,1690130022281,0.026319041848182678,0.5151110924780369,0.052386894822120667,0.03059937059879303,0.11946845427155495,0.05301742348819971,0.046007160330191255,0.046315327286720276,0.03755325451493263,1,ROBINSON COAL CO,00000000000000000077,2184019,2023-07-01,2023-07-31
8,20230723T161831_20230723T162339_T16SGE,-84.74616558855155,35.99279848881687,1690130019091,0.023009134689345956,0.6682892853859812,0.04757159296423197,0.02781508956104517,0.08280898467637599,0.03417330444790423,0.03754142764955759,0.029185418039560318,0.034660194301977754,1,ROBINSON COAL CO,00000000000000000077,2184019,2023-07-01,2023-07-31
12,20230723T161831_20230723T162339_T16SFE,-84.74975884968802,35.99459511938511,1690130022281,0.02518296241760254,0.6727123409509659,0.05384274967946112,0.029835477471351624,0.05872132279910147,0.04373188712634146,0.04307702276855707,0.02656219550408423,0.03480807156302035,1,ROBINSON COAL CO,00000000000000000077,2184019,2023-07-01,2023-07-31
13,20230723T161831_20230723T162339_T16SGE,-84.74975884968802,35.99459511938511,1690130019091,0.026921510929241776,0.6271066153421998,0.05902491603046656,0.03178507462143898,0.055110600078478456,0.05674887076020241,0.042515147710219026,0.0335779229644686,0.03961518779397011,1,ROBINSON COAL CO,00000000000000000077,2184019,2023-07-01,2023-07-31
17,20230723T161831_20230723T162339_T16SFE,-84.74796221911978,35.99459511938511,1690130022281,0.027901681372895837,0.5433932179585099,0.09017586708068848,0.030652777291834354,0.12850413308478892,0.05292611406184733,0.04804535419680178,0.0296039916574955,0.03680594475008547,1,ROBINSON COAL CO,00000000000000000077,2184019,2023-07-01,2023-07-31
18,20230723T161831_20230723T162339_T16SGE,-84.74796221911978,35.99459511938511,1690130019091,0.027137253433465958,0.5614933706820011,0.08398109674453735,0.029819665709510446,0.11953175161033869,0.05043566320091486,0.0504425170365721,0.03000968345440924,0.036309972405433655,1,ROBINSON COAL CO,00000000000000000077,2184019,2023-07-01,2023-07-31
22,20230723T161831_20230723T162339_T16SFE,-84.7443689579833,35.99459511938511,1690130022281,0.030020257690921426,0.308677768567577,0.07256486359983683,0.03442198061384261,0.15863087121397257,0.1345914436969906,0.13714490924030542,0.04227009508758783,0.039888993138447404,1,ROBINSON COAL CO,00000000000000000077,2184019,2023-07-01,2023-07-31
