id,ACT_INAC,Calc_Acres,Contact,DATE_ISS,FeatCLS,MINE_STATU,National_I,ORIG_PERM,PERM_ACT,PER_NAME,PER_TYPE,PermitNo,QUAD_DESC,REGION_DES,Shape_Leng,Source,Type_Flag
"00000000000000001111",Released,294.30295448,KY Division of Mine Permits,"1141718400000",SF,FF,KY8640180,"8640180",SU      03/07/2013  AM   1  05/12/2011  RN   1  04/22/2011,B & C ENERGY INC,PERMANENT,"8640180",MAZIE,PRESTONSBURG,53267.49394,CHIA,TRNS
00000000000000001f4d,Released,4.8222848,KY Division of Mine Permits,"374486400000",SF,FF,KY0130119,"0130119",NW      11/13/1981,TENKILLER MINING SERVICES INC,INTERIM,"0130119",,LONDON,1820.65385398,KGS Project,INACT
00000000000000002b96,Released,6.33589394,KY Division of Mine Permits,"322732800000",SF,FF,KY1005000,"1005000",RV      01/13/1981  NW      03/24/1980,LAUREL RIVER COAL CO,INTERIM,"1005000",ANO,LONDON,3259.23848861,KGS Project,INACT
"00000000000000001d20",Released,2.86415113,KY Division of Mine Permits,"455871600000",SF,FF,KY9180010,"9180010",NW      06/12/1984,RIDNER COAL CO INC,PERMANENT,"9180010",VOX,MIDDLESBORO,1867.45600822,KGS Project,INACT
000000000000000020c7,Released,2.79921059,KY Division of Mine Permits,"388137600000",SF,FF,KY0320080,"0320080",NW      04/20/1982,HERBERT WELLS,INTERIM,"0320080",AULT,PRESTONSBURG,3544.76506298,KGS Project,INACT
"00000000000000003095",Released,38.45855755,KY Division of Mine Permits,"172738800000",SF,FF,KY404774X,404774X,NW      06/23/1975,MOUNT VICTORY COAL CO INC,PRE LAW,404774X,HAIL,LONDON,16988.0599841,KGS Project,INACT
0000000000000000080c,Released,2.14031366,KY Division of Mine Permits,"463302000000",SF,FF,KY8260258,"8260258",RV      12/09/1984  NW      09/06/1984,JAMES COTTRELL,PERMANENT,"8260258",HIMA,LONDON,2403.131258,KGS Project,INACT
0000000000000000086a,Released,65.42883273,KY Division of Mine Permits,"983779200000",SF,FF,KY8260501,"8260501",MT   2  05/22/2006  MT   1  05/14/2004  NW   1  03/05/2001,EVERGREEN MINING INC,PERMANENT,"8260501",HIMA,LONDON,37138.5496284,KYDMP,INACT
000000000000000008a4,Released,86.62439915,KY Division of Mine Permits,"1213772400000",SF,FF,KY8260631,"8260599",MT   1  05/18/2010  MI   1  12/11/2009  SU   1  06/18/2008,GLOBAL ENERGY GROUP LLC,PERMANENT,"8260631",HIMA,LONDON,19320.1777635,KYDMP,INACT
000000000000000008bf,Released,9.39409669,KY Division of Mine Permits,"1369897200000",SF,FF,KY8260690,"8260670",MI   2  09/25/2013  SU   1  05/30/2013,BER COAL LLC,PERMANENT,"8260690",HIMA,LONDON,3211.68462496,CHIA,INACT
00000000000000000f90,Released,2.63515226,KY Division of Mine Permits,"481363200000",SF,FF,KY8610283,"8610283",NW      04/03/1985,ABBY COAL COMPANY,PERMANENT,"8610283",HIMA,MIDDLESBORO,4896.24235627,KGS Project,INACT
00000000000000000fd6,Released,0.46235107,KY Division of Mine Permits,"459586800000",SF,FF,KY8615097,"8615097",NW      07/25/1984,S & E COAL CO,PERMANENT,"8615097",HIMA,MIDDLESBORO,855.38235047,KGS Project,INACT
0000000000000000201c,Released,36.47669428,KY Division of Mine Permits,"326962800000",SF,FF,KY0260103,"0260103",RV      05/11/1981  NW      05/12/1980,TRINITY COAL CO INC,INTERIM,"0260103",HIMA,LONDON,15737.9912658,KGS Project,INACT
000000000000000003af,Released,10.95921778,KY Division of Mine Permits,"248601600000",SF,FF,KY643677X,643677X,NW      11/17/1977,HERMITAGE COAL CO INC,PRE LAW,643677X,INEZ,PRESTONSBURG,5856.63935448,KGS Project,INACT
000000000000000014f0,Released,27.88296804,KY Division of Mine Permits,"470649600000",SF,FF,KY8800010,"8800010",NW      11/30/1984,TWIN STAR CONTRACTING CO INC,PERMANENT,"8800010",INEZ,PRESTONSBURG,16921.9239114,KGS Project,INACT
000000000000000014fc,Released,2.13925375,KY Division of Mine Permits,"459586800000",SF,FF,KY8800030,"8800030",NW      07/25/1984,THURMAN HARLESS,PERMANENT,"8800030",INEZ,PRESTONSBURG,3540.08142618,KGS Project,INACT
"00000000000000002811",Released,3.75624612,KY Division of Mine Permits,"292492800000",SF,FF,KY0800030,"0800030",NW      04/09/1979,LEE MINING CO,INTERIM,"0800030",INEZ,PRESTONSBURG,4108.11999645,KGS Project,INACT
"00000000000000002821",Released,78.26587119,KY Division of Mine Permits,"326530800000",SF,FF,KY0800055,"0800055",RV      10/28/1982  AM      12/03/1981  AM      10/24/1980,PAUL PELPHREY COAL CO INC,INTERIM,"0800055",INEZ,PRESTONSBURG,40514.2348107,KGS Project,INACT
0000000000000000283f,Released,49.5202455,KY Division of Mine Permits,"383472000000",SF,FF,KY0800095,"0800095",RV      12/10/1982  AM      07/14/1982  NW      02/25/1982,BLAZER COAL CORPORATION,INTERIM,"0800095",INEZ,PRESTONSBURG,23725.895163,KGS Project,INACT
0000000000000000284d,Released,11.99671798,KY Division of Mine Permits,"399193200000",SF,FF,KY0800114,"0800114",RV      06/23/1983  SU      04/14/1983  NW      08/26/1982,VIRGINIA MINING CO INC,INTERIM,"0800114",INEZ,PRESTONSBURG,10954.4064724,KGS Project,INACT
"00000000000000002858",Released,25.89774641,KY Division of Mine Permits,"290332800000",SF,FF,KY0805012,"0805012",NW      03/15/1979,K & R MINING CO,INTERIM,"0805012",INEZ,PRESTONSBURG,15138.2553678,KGS Project,INACT
"00000000000000000062",Released,4.30884149,KY Division of Mine Permits,"470563200000",SF,FF,KY4605067,"0605067",RV      05/09/1986  NW      11/29/1984,ANDERSON COAL CO INC,PERMANENT,"4605067",KITE,PRESTONSBURG,7668.47818285,KGS Project,INACT
"00000000000000000066",Released,9.35525661,KY Division of Mine Permits,"451209600000",SF,FF,KY4605087,"0605087",MI      08/25/1995  MI      01/12/1993  MT      09/21/1992,WIND RIVER ENERGY CORPORATION,PERMANENT,"4605087",KITE,PRESTONSBURG,4945.15846598,KGS Project,INACT
